,에너지(cal),탄수화물(g),단백질(g),지방(g),당류(g),식이섬유(g),나트륨(mg),,흑미,현미,보리,차조,기장,율무,수수,찹쌀,적두,서리태
69,163.3333333,35.44666667,3.19,0.693333333,0.05,0.966666667,73,,0,33.33333333,0,0,33.33333333,0,33.33333333,0,0,0
70,163.7692308,35.77307692,3.237692308,0.597692308,0.069230769,1.038461538,189.3846154,,0,0,23.07692308,0,38.46153846,0,38.46153846,0,0,0
71,137.2535211,29.84521127,2.798028169,0.432535211,0.033802817,0.935211268,195.8591549,,14.08450704,18.30985915,42.25352113,0,0,0,0,25.35211268,0,0
72,152.0491803,33.1395082,3.031311475,0.536229508,0.055737705,0.998360656,167.147541,,0,13.1147541,24.59016393,0,24.59016393,0,24.59016393,13.1147541,0,0
73,156.2753623,33.82376812,3.166666667,0.623333333,0.042753623,1.115942029,75.71014493,,11.5942029,50.72463768,11.5942029,0,2.898550725,2.898550725,4.347826087,7.246376812,4.347826087,4.347826087
74,129.45,28.1143,2.6157,0.4327,0.0475,0.933,30.39,,32,0,0,0,5,0,5,50,6,2
75,149.1111111,32.53074074,2.96037037,0.485,0.048148148,0.909259259,147.6296296,,9.259259259,3.703703704,22.22222222,0,27.77777778,0,18.51851852,18.51851852,0,0
76,153.5714286,32.96285714,3.012857143,0.734285714,0,0.8,2,,14.28571429,85.71428571,0,0,0,0,0,0,0,0
77,151.2736842,32.86105263,3.083684211,0.531052632,0.048631579,1.070526316,124.0105263,,13.68421053,27.36842105,22.10526316,5.263157895,2.105263158,2.105263158,3.157894737,13.68421053,5.263157895,5.263157895
78,134.1111111,28.88277778,2.672222222,0.546666667,0.017361111,0.869444444,3.041666667,,13.88888889,51.38888889,0,0,0,0,0,34.72222222,0,0
79,139,29.895,2.755,0.595,0.0125,0.85,2.75,,0,75,0,0,0,0,0,25,0,0
80,147.2,31.73428571,2.918857143,0.628,0.020285714,0.851428571,16.22857143,,14.28571429,57.14285714,0,2.857142857,2.857142857,0,2.857142857,14.28571429,2.857142857,2.857142857
81,131.4,28.32,2.626,0.52,0.02,0.88,3.2,,20,40,0,0,0,0,0,40,0,0
82,148.8472222,32.24319444,3.044861111,0.538611111,0.029583333,0.951388889,192.3194444,,13.88888889,34.72222222,41.66666667,0,0,0,0,0,0,9.722222222
83,141.8405797,30.92768116,2.906666667,0.414347826,0.037681159,0.950724638,280.6086957,,0,24.63768116,60.86956522,0,0,0,0,14.49275362,0,0
84,162.5,35.45947368,3.248684211,0.628684211,0.077631579,1.160526316,218.1842105,,0,0,28.94736842,0,28.94736842,0,42.10526316,0,0,0
85,142.2586207,31.01155172,2.913103448,0.420172414,0.037068966,0.948275862,278.1896552,,0,25.86206897,60.34482759,0,0,0,0,13.79310345,0,0
86,135.1,29.5842,2.6878,0.3082,0.041,0.79,136.22,,0,0,24,0,30,0,6,40,0,0
87,151.6,32.5625,3.008,0.695,0.007,0.845,24.8,,5,85,5,0,0,0,0,0,0,5
88,154,33.0625,3.0225,0.7375,0,0.8,2,,25,75,0,0,0,0,0,0,0,0
89,161.28125,35.16875,3.2084375,0.6034375,0.0609375,1.034375,195.71875,,12.5,0,28.125,0,28.125,0,31.25,0,0,0
90,154.9767442,33.81511628,3.21255814,0.591162791,0.084883721,1.348837209,358.5348837,,0,0,65.11627907,0,0,0,34.88372093,0,0,0
91,157.5454545,34.65454545,3.093636364,0.317272727,0.027272727,0.590909091,271.2727273,,0,0,54.54545455,0,45.45454545,0,0,0,0,0
92,158.6904762,34.60333333,3.166428571,0.565238095,0.053571429,0.99047619,215.9285714,,2.380952381,14.28571429,35.71428571,0,23.80952381,0,23.80952381,0,0,0
93,158.55,34.62175,3.06675,0.4455,0.0125,0.5525,134.95,,0,32.5,25,0,42.5,0,0,0,0,0
94,160.5384615,35.04384615,3.233076923,0.605384615,0.076923077,1.176923077,252.9230769,,0,0,38.46153846,0,23.07692308,0,38.46153846,0,0,0
95,135.8888889,29.41592593,2.740740741,0.487777778,0.025925926,0.903703704,104.4444444,,14.81481481,33.33333333,22.22222222,0,0,0,0,29.62962963,0,0
96,151.3448276,32.92448276,3.082586207,0.514655172,0.03,0.925862069,262,,41.37931034,0,56.89655172,0,0,0,0,0,0,1.724137931
97,134.3333333,28.91666667,2.673333333,0.55,0.016666667,0.866666667,3,,0,66.66666667,0,0,0,0,0,33.33333333,0,0
98,148.1428571,32.34857143,2.898571429,0.481428571,0.057142857,0.9,70,,0,0,0,0,42.85714286,0,28.57142857,28.57142857,0,0
99,151.875,33.20125,3.05,0.48875,0.0625,1.025,227,,0,0,37.5,0,25,0,25,12.5,0,0
100,122.7333333,26.58666667,2.494,0.392,0.033333333,0.933333333,64.53333333,,6.666666667,26.66666667,13.33333333,0,0,0,0,53.33333333,0,0
101,161.6666667,35.33666667,3.216666667,0.563333333,0.066666667,1.033333333,225.3333333,,0,0,33.33333333,0,33.33333333,0,33.33333333,0,0,0
102,139.6,30.47,2.87,0.394,0.04,0.96,276.8,,20,0,60,0,0,0,0,20,0,0
103,139.2474227,30.18185567,2.825876289,0.494123711,0.041443299,0.949484536,97.56701031,,0,41.2371134,16.49484536,0,3.092783505,0,4.12371134,24.74226804,4.12371134,6.18556701
104,141.8,30.482,2.804,0.622,0.01,0.84,2.6,,0,80,0,0,0,0,0,20,0,0
105,132.4252874,28.69827586,2.682298851,0.445172414,0.029885057,0.91954023,118.5977011,,0,40.22988506,25.28735632,0,0,0,0,34.48275862,0,0
106,155.4074074,33.8962963,3.220740741,0.606666667,0.087037037,1.37037037,352.3333333,,0,0,62.96296296,0,0,0,37.03703704,0,0,0
107,150.2162162,32.22702703,3.018108108,0.690540541,0.012162162,0.894594595,1.864864865,,21.62162162,64.86486486,0,0,0,0,0,0,0,13.51351351
108,156.3474576,34.16118644,3.14440678,0.513220339,0.056355932,1.004237288,264.059322,,2.542372881,5.93220339,47.45762712,0,21.18644068,0,21.18644068,1.694915254,0,0
109,153.3678161,33.23390805,3.082413793,0.588505747,0.027126437,0.888505747,154.9195402,,22.98850575,33.33333333,31.03448276,2.298850575,2.298850575,0,2.298850575,0,2.298850575,3.448275862
110,135.483871,29.59806452,2.796129032,0.351612903,0.043548387,0.974193548,282.8709677,,0,12.90322581,61.29032258,0,0,0,0,25.80645161,0,0
111,161.1034483,35.23948276,3.201724138,0.533793103,0.062068966,0.982758621,232.1724138,,0,0,36.20689655,0,34.48275862,0,29.31034483,0,0,0
112,129.9009901,28.39049505,2.667326733,0.34039604,0.061188119,1.015841584,168.1881188,,0,0,29.7029703,0,9.900990099,0,9.900990099,44.55445545,2.97029703,2.97029703
113,166.6923077,36.25692308,3.268461538,0.717692308,0.069230769,1.084615385,96.92307692,,15.38461538,0,0,0,38.46153846,0,46.15384615,0,0,0
